x_index,y_index,x_min_m,x_max_m,x_center_m,y_min_m,y_max_m,y_center_m,assert_count,yield_count,total_count,p_assert,masked
18,1,-2.2,-2.0999999999999996,-2.15,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
19,1,-2.0999999999999996,-2.0,-2.05,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
20,1,-2.0,-1.9,-1.95,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
21,1,-1.9,-1.7999999999999998,-1.8499999999999999,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
22,1,-1.7999999999999998,-1.6999999999999997,-1.7499999999999998,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
23,1,-1.6999999999999997,-1.5999999999999996,-1.6499999999999997,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
24,1,-1.5999999999999996,-1.5,-1.5499999999999998,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
25,1,-1.5,-1.4,-1.45,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
26,1,-1.4,-1.2999999999999998,-1.3499999999999999,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
27,1,-1.2999999999999998,-1.1999999999999997,-1.2499999999999998,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
28,1,-1.1999999999999997,-1.0999999999999996,-1.1499999999999997,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
29,1,-1.0999999999999996,-1.0,-1.0499999999999998,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
30,1,-1.0,-0.8999999999999999,-0.95,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
31,1,-0.8999999999999999,-0.7999999999999998,-0.8499999999999999,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
32,1,-0.7999999999999998,-0.6999999999999997,-0.7499999999999998,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
33,1,-0.6999999999999997,-0.5999999999999996,-0.6499999999999997,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
34,1,-0.5999999999999996,-0.5,-0.5499999999999998,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
35,1,-0.5,-0.3999999999999999,-0.44999999999999996,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
36,1,-0.3999999999999999,-0.2999999999999998,-0.34999999999999987,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
37,1,-0.2999999999999998,-0.19999999999999973,-0.24999999999999978,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
38,1,-0.19999999999999973,-0.09999999999999964,-0.1499999999999997,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
39,1,-0.09999999999999964,0.0,-0.04999999999999982,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
